"event","top_inning","batter_name","date"
"Groundout","Y","Willie Bloomquist","2012-06-01"
"Groundout","Y","Aaron Hill","2012-06-01"
"Groundout","Y","Justin Upton","2012-06-01"
"Groundout","N","Chris Denorfia","2012-06-01"
"Groundout","N","Cameron Maybin","2012-06-01"
"Groundout","N","Yonder Alonso","2012-06-01"
"Walk","Y","Miguel Montero","2012-06-01"
"Forceout","Y","Chris Young","2012-06-01"
"Single","Y","Paul Goldschmidt","2012-06-01"
"Flyout","Y","Ryan Roberts","2012-06-01"
"Groundout","Y","Gerardo Parra","2012-06-01"
"Groundout","N","Carlos Quentin","2012-06-01"
"Groundout","N","Chase Headley","2012-06-01"
"Strikeout","N","Nick Hundley","2012-06-01"
"Flyout","Y","Wade Miley","2012-06-01"
"Single","Y","Willie Bloomquist","2012-06-01"
"Forceout","Y","Aaron Hill","2012-06-01"
"Single","Y","Justin Upton","2012-06-01"
"Single","Y","Miguel Montero","2012-06-01"
"Flyout","Y","Chris Young","2012-06-01"
"Strikeout","N","Everth Cabrera","2012-06-01"
"Triple","N","Alexi Amarista","2012-06-01"
"Groundout","N","Clayton Richard","2012-06-01"
"Pop Out","N","Chris Denorfia","2012-06-01"
"Double","Y","Paul Goldschmidt","2012-06-01"
"Flyout","Y","Ryan Roberts","2012-06-01"
"Flyout","Y","Gerardo Parra","2012-06-01"
"Strikeout","Y","Wade Miley","2012-06-01"
"Single","N","Cameron Maybin","2012-06-01"
"Lineout","N","Yonder Alonso","2012-06-01"
"Groundout","N","Carlos Quentin","2012-06-01"
"Flyout","N","Chase Headley","2012-06-01"
"Strikeout","Y","Willie Bloomquist","2012-06-01"
"Flyout","Y","Aaron Hill","2012-06-01"
"Flyout","Y","Justin Upton","2012-06-01"
"Groundout","N","Nick Hundley","2012-06-01"
"Strikeout","N","Everth Cabrera","2012-06-01"
"Groundout","N","Alexi Amarista","2012-06-01"
"Groundout","Y","Miguel Montero","2012-06-01"
"Groundout","Y","Chris Young","2012-06-01"
"Strikeout","Y","Paul Goldschmidt","2012-06-01"
"Strikeout","N","Clayton Richard","2012-06-01"
"Groundout","N","Chris Denorfia","2012-06-01"
"Groundout","N","Cameron Maybin","2012-06-01"
"Lineout","Y","Ryan Roberts","2012-06-01"
"Groundout","Y","Gerardo Parra","2012-06-01"
"Single","Y","Wade Miley","2012-06-01"
"Single","Y","Willie Bloomquist","2012-06-01"
"Groundout","Y","Aaron Hill","2012-06-01"
"Single","N","Yonder Alonso","2012-06-01"
"Forceout","N","Carlos Quentin","2012-06-01"
"Forceout","N","Chase Headley","2012-06-01"
"Pop Out","N","Nick Hundley","2012-06-01"
"Strikeout","Y","Justin Upton","2012-06-01"
"Pop Out","Y","Miguel Montero","2012-06-01"
"Walk","Y","Chris Young","2012-06-01"
"Runner Out","Y","Paul Goldschmidt","2012-06-01"
"Lineout","N","Everth Cabrera","2012-06-01"
"Single","N","Alexi Amarista","2012-06-01"
