"batter_name","url","home","y","n"
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_06/gid_2012_04_06_chamlb_texmlb_1/inning/inning_all.xml",0,1,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_07/gid_2012_04_07_chamlb_texmlb_1/inning/inning_all.xml",0,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_08/gid_2012_04_08_chamlb_texmlb_1/inning/inning_all.xml",0,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_09/gid_2012_04_09_chamlb_clemlb_1/inning/inning_all.xml",0,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_11/gid_2012_04_11_chamlb_clemlb_1/inning/inning_all.xml",0,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_13/gid_2012_04_13_detmlb_chamlb_1/inning/inning_all.xml",1,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_14/gid_2012_04_14_detmlb_chamlb_1/inning/inning_all.xml",1,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_15/gid_2012_04_15_detmlb_chamlb_1/inning/inning_all.xml",1,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_16/gid_2012_04_16_balmlb_chamlb_1/inning/inning_all.xml",1,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_17/gid_2012_04_17_balmlb_chamlb_1/inning/inning_all.xml",1,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_18/gid_2012_04_18_balmlb_chamlb_1/inning/inning_all.xml",1,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_19/gid_2012_04_19_balmlb_chamlb_1/inning/inning_all.xml",1,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_20/gid_2012_04_20_chamlb_seamlb_1/inning/inning_all.xml",0,2,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_21/gid_2012_04_21_chamlb_seamlb_1/inning/inning_all.xml",0,0,4
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_22/gid_2012_04_22_chamlb_seamlb_1/inning/inning_all.xml",0,0,5
"Adam Dunn","http://gd2.mlb.com/components/game/mlb/year_2012/month_04/day_23/gid_2012_04_23_chamlb_oakmlb_1/inning/inning_all.xml",0,1,5
