event,category
Strikeout,Strikeout
Groundout,Out (In play)
Lineout,Out (In play)
Pop Out,Out (In play)
Flyout,Out (In play)
Walk,On base
Single,Single
Sac Fly,Sacrifice
Double,Extra Bases
Field Error,Field Error
Grounded Into DP,Out (In play)
Home Run,Home Run
Forceout,Out (In play)
Hit By Pitch,On base
Intent Walk,On base
Double Play,Out (In play)
Triple,Extra Bases
Bunt Groundout,Out (In play)
Bunt Pop Out,Out (In play)
Runner Out,
Fielders Choice Out,Out (In play)
Sac Bunt,Sacrifice
Batter Interference,
Strikeout - DP,Strikeout
Fan interference,
Fielders Choice,Out (In play)
Sac Fly DP,Sacrifice
Catcher Interference,
Sacrifice Bunt DP,Sacrifice
Triple Play,Out (In play)
null,
Bunt Lineout,Out (In play)
