"event","top_inning","batter_name","date","category"
"Home Run","N","Jesus Guzman","2012-06-01","Home Run"
"Home Run","N","Hideki Matsui","2012-06-01","Home Run"
"Home Run","Y","David Ortiz","2012-06-01","Home Run"
"Home Run","N","Yunel Escobar","2012-06-01","Home Run"
"Home Run","N","David Cooper","2012-06-01","Home Run"
"Home Run","Y","Alfonso Soriano","2012-06-01","Home Run"
"Home Run","Y","Jay Bruce","2012-06-01","Home Run"
"Home Run","N","Wilin Rosario","2012-06-01","Home Run"
"Home Run","N","Christopher Nelson","2012-06-01","Home Run"
"Home Run","N","Christopher Nelson","2012-06-01","Home Run"
"Home Run","N","Chris Nelson","2012-06-01","Home Run"
"Home Run","N","Chris Nelson","2012-06-01","Home Run"
"Home Run","N","Michael Cuddyer","2012-06-01","Home Run"
"Home Run","N","Michael Cuddyer","2012-06-01","Home Run"
"Home Run","N","Hunter Pence","2012-06-01","Home Run"
"Home Run","Y","Logan Morrison","2012-06-01","Home Run"
"Home Run","Y","Justin Ruggiano","2012-06-01","Home Run"
"Home Run","N","Lonnie Chisenhall","2012-06-01","Home Run"
"Home Run","N","Jason Kipnis","2012-06-01","Home Run"
"Home Run","Y","Curtis Granderson","2012-06-01","Home Run"
"Home Run","N","Ramon Santiago","2012-06-01","Home Run"
"Home Run","N","Ramon Santiago","2012-06-01","Home Run"
"Home Run","Y","Alex Rodriguez","2012-06-01","Home Run"
"Home Run","N","Nyjer Morgan","2012-06-01","Home Run"
"Home Run","N","Corey Hart","2012-06-01","Home Run"
"Home Run","N","Gordon Beckham","2012-06-01","Home Run"
"Home Run","N","Gordon Beckham","2012-06-01","Home Run"
"Home Run","N","Adam Dunn","2012-06-01","Home Run"
"Home Run","Y","Kyle Seager","2012-06-01","Home Run"
"Home Run","N","Lucas Duda","2012-06-01","Home Run"
"Home Run","Y","Paul Goldschmidt","2012-06-02","Home Run"
"Home Run","N","Jesus Flores","2012-06-02","Home Run"
"Home Run","Y","Endy Chavez","2012-06-02","Home Run"
"Home Run","N","Jeff Mathis","2012-06-02","Home Run"
"Home Run","N","Jose Bautista","2012-06-02","Home Run"
"Home Run","Y","Nick Punto","2012-06-02","Home Run"
"Home Run","Y","David DeJesus","2012-06-02","Home Run"
"Home Run","Y","Joey Votto","2012-06-02","Home Run"
"Home Run","N","Jed Lowrie","2012-06-02","Home Run"
"Home Run","Y","Todd Frazier","2012-06-02","Home Run"
"Home Run","Y","Drew Stubbs","2012-06-02","Home Run"
"Home Run","Y","Ryan Ludwick","2012-06-02","Home Run"
"Home Run","Y","Bobby Abreu","2012-06-02","Home Run"
"Home Run","N","Hunter Pence","2012-06-02","Home Run"
"Home Run","Y","Hanley Ramirez","2012-06-02","Home Run"
"Home Run","Y","Hanley Ramirez","2012-06-02","Home Run"
"Home Run","Y","Trevor Plouffe","2012-06-02","Home Run"
"Home Run","Y","Joe Mauer","2012-06-02","Home Run"
"Home Run","N","Miguel Cabrera","2012-06-02","Home Run"
"Home Run","N","Miguel Cabrera","2012-06-02","Home Run"
"Home Run","Y","Garrett Jones","2012-06-02","Home Run"
"Home Run","N","Brooks Conrad","2012-06-02","Home Run"
